node	identifier	node_degree
C9orf72	9606.ENSP00000482753	15
CACNA1A	9606.ENSP00000353362	2
CHCHD10	9606.ENSP00000418428	10
CHMP2B	9606.ENSP00000263780	14
CYLD	9606.ENSP00000392025	2
FMR1	9606.ENSP00000359506	9
FUS	9606.ENSP00000254108	14
GRN	9606.ENSP00000053867	11
HNRNPA1	9606.ENSP00000341826	11
HNRNPA2B1	9606.ENSP00000346694	9
MAP1B	9606.ENSP00000296755	5
MAPT	9606.ENSP00000340820	16
NSD1	9606.ENSP00000395929	1
PNKP	9606.ENSP00000323511	0
PSEN1	9606.ENSP00000326366	9
SETD2	9606.ENSP00000386759	1
SQSTM1	9606.ENSP00000374455	14
TARDBP	9606.ENSP00000240185	15
TBK1	9606.ENSP00000329967	10
TMEM106B	9606.ENSP00000379901	8
TREM2	9606.ENSP00000362205	5
VCP	9606.ENSP00000351777	13
